filename,cleanup content,directory,cluster
12208683_1.txt,public static string getbackgroundcolor xwpfrun run ctr ctr run getctr,XWPFRun,4.0
12208722_1.txt,protected void visitrun xwpfrun run xhtmlpagecontentbuffer paragraphcontainer xhtmlstyleutil getstyle run runstyle super getxwpfstyle run getparagraph getstyle defaults list ctbr brs run getctr getbrlist list cttext texts run getctr gettlist,XWPFRun,8.0
134954814_2.txt,private void replacebookmark ctbookmark bookmark xwpfrun run run getctr getdomnode insertbefore stylenode clonenode true run getctr getdomnode getfirstchild run getctr getdomnode nextnode,XWPFRun,10.0
12208685_1.txt,protected void visitrun xwpfrun run iitextcontainer pdfcontainer ctr ctr run getctr ctrpr rprstyle getrpr super getxwpfstyle run getparagraph getstyleid float fontsize run getfontsize underlinepatterns underlinepatterns run getunderline list cttext texts run getctr gettlist,XWPFRun,8.0
12208720_1.txt,public static stringbuilder getstyle xwpfrun run xwpfstyle runstyle xwpfstyle style ctdocdefaults defaults float fontsize run getfontsize underlinepatterns underlinepatterns run getunderline,XWPFRun,5.0
134954814_1.txt,final xwpfrun run new xwpfrun ctp addnewr paragraph run settext lines 0 0 run addbreak run settext lines iline run settext formattedvalue 0,XWPFRun,2.0
64530867_1.txt,hssfpalette palette workbook getcustompalette hssfcolor result palette findcolor rgbbyte 0 rgbbyte 1 rgbbyte 2 palette setcoloratindex paletteindex rgbbyte 0 rgbbyte 1 rgbbyte 2 result palette findsimilarcolor rgbbyte 0 rgbbyte 1 rgbbyte 2,HSSFPalette,1.0
72854667_1.txt,hssfpalette palette getworkbook getcustompalette hssfcolor col palette findsimilarcolor byte colour getred byte colour getgreen byte colour getblue,HSSFPalette,12.0
70648747_1.txt,hssfpalette customcolorspalette customcolorspalette setcoloratindex new byte byte nextavailablecolorcode new byte byte redcode new byte byte greencode new byte byte bluecode returnedcolorindex customcolorspalette getcolor nextavailablecolorcode getindex,HSSFPalette,15.0
64530867_2.txt,hssfpalette palette hssfworkbook wb getcustompalette fgrgb palette getcolor font getcolor gettriplet,HSSFPalette,4.0
