filename, directory, cluster
68613461_1.txt, HSSFClientAnchor, 1
15642598_1.txt, HSSFClientAnchor, 1
12440192_1.txt, HSSFClientAnchor, 1
92669291_1.txt, HSSFClientAnchor, 1
12440044_1.txt, HSSFClientAnchor, 1
111785559_1.txt, HSSFClientAnchor, 1
112311786_1.txt, HSSFClientAnchor, 2
73315299_2.txt, HSSFClientAnchor, 1
73315299_1.txt, HSSFClientAnchor, 1
12440188_1.txt, EntryNode, 1
68613461_1.txt, EntryNode, 1
15642598_1.txt, EntryNode, 2
12440192_1.txt, EntryNode, 1
12440188_1.txt, PPDrawing, 1
68613461_1.txt, PPDrawing, 3
15642598_1.txt, PPDrawing, 3
12440192_1.txt, PPDrawing, 3
92669291_1.txt, PPDrawing, 4
12440044_1.txt, PPDrawing, 2
12440188_1.txt, HSSFFooter, 1
68613461_1.txt, HSSFFooter, 1
15642598_1.txt, HSSFFooter, 1
12440192_1.txt, HSSFFooter, 1
92669291_1.txt, HSSFFooter, 1
12440044_1.txt, HSSFFooter, 1
111785559_1.txt, HSSFFooter, 1
112311786_1.txt, HSSFFooter, 1
73315299_2.txt, HSSFFooter, 1
73315299_1.txt, HSSFFooter, 1
94171992_1.txt, HSSFFooter, 2
61719045_1.txt, HSSFFooter, 1
15642330_1.txt, HSSFFooter, 1
558689_1.txt, HSSFFooter, 1
133035254_1.txt, HSSFFooter, 1
15642409_2.txt, HSSFFooter, 1
66638946_1.txt, HSSFFooter, 3
15642409_1.txt, HSSFFooter, 1
3760572_1.txt, HSSFFooter, 1
15642594_1.txt, HSSFFooter, 1
12440188_1.txt, AreaReference, 3
68613461_1.txt, AreaReference, 3
15642598_1.txt, AreaReference, 3
12440192_1.txt, AreaReference, 3
92669291_1.txt, AreaReference, 3
12440044_1.txt, AreaReference, 1
111785559_1.txt, AreaReference, 3
112311786_1.txt, AreaReference, 4
73315299_2.txt, AreaReference, 3
73315299_1.txt, AreaReference, 2
94171992_1.txt, AreaReference, 3
61719045_1.txt, AreaReference, 3
15642330_1.txt, AreaReference, 3
558689_1.txt, AreaReference, 3
133035254_1.txt, AreaReference, 3
15642409_2.txt, AreaReference, 1
66638946_1.txt, AreaReference, 3
15642409_1.txt, AreaReference, 3
3760572_1.txt, AreaReference, 3
15642594_1.txt, AreaReference, 3
15642593_1.txt, AreaReference, 3
15642365_1.txt, AreaReference, 5
15642365_2.txt, AreaReference, 1
68613461_1.txt, AreaReference, 3
15642481_1.txt, AreaReference, 3
15642441_1.txt, AreaReference, 3
